1,1,"Literary Fiction","literary_fiction.png","active"
2,1,"Contemporary Fiction","contemporary_fiction.png","active"
3,1,"Women’s Fiction","womens_fiction.png","active"
4,2,"High Fantasy","high_fantasy.png","active"
5,2,"Urban Fantasy","urban_fantasy.png","active"
6,2,"Dark Fantasy","dark_fantasy.png","active"
7,2,"Epic Fantasy","epic_fantasy.png","active"
8,2,"Sword and Sorcery","sword_sorcery.png","active"
9,3,"Dystopian","dystopian.png","active"
10,3,"Cyberpunk","cyberpunk.png","active"
11,3,"Steampunk","steampunk.png","active"
12,3,"Space Opera","space_opera.png","active"
13,3,"Hard Science Fiction","hard_scifi.png","active"
14,4,"Contemporary Romance","contemporary_romance.png","active"
15,4,"Historical Romance","historical_romance.png","active"
16,4,"Paranormal Romance","paranormal_romance.png","active"
17,4,"Romantic Suspense","romantic_suspense.png","active"
18,4,"Young Adult Romance","ya_romance.png","active"
19,5,"Detective Fiction","detective.png","active"
20,5,"Cozy Mystery","cozy_mystery.png","active"
21,5,"Crime Fiction","crime.png","active"
22,5,"Noir","noir.png","active"
23,5,"Police Procedural","police.png","active"
24,6,"Legal Thriller","legal_thriller.png","active"
25,6,"Medical Thriller","medical_thriller.png","active"
26,6,"Psychological Thriller","psych_thriller.png","active"
27,6,"Action Thriller","action_thriller.png","active"
28,7,"Gothic Horror","gothic_horror.png","active"
29,7,"Supernatural Horror","supernatural_horror.png","active"
30,7,"Psychological Horror","psych_horror.png","active"
31,7,"Monster Horror","monster.png","active"
32,8,"Historical Romance","historical_rom.png","active"
33,8,"Alternate History","alt_history.png","active"
34,8,"Historical Mystery","historical_mystery.png","active"
35,9,"YA Fantasy","ya_fantasy.png","active"
36,9,"YA Science Fiction","ya_scifi.png","active"
37,9,"YA Contemporary","ya_contemporary.png","active"
38,9,"YA Dystopian","ya_dystopian.png","active"
39,10,"Picture Books","picture_books.png","active"
40,10,"Middle Grade","middle_grade.png","active"
41,10,"Early Readers","early_readers.png","active"
42,11,"Classic Literature","classic_lit.png","active"
43,11,"Modern Classics","modern_classics.png","active"
54,15,"Haiku","haiku.png","active"
55,15,"Epic Poetry","epic_poetry.png","active"
56,15,"Contemporary Poetry","contemporary_poetry.png","active"
57,16,"Essays","essays.png","active"
58,16,"Journalism","journalism.png","active"
59,16,"True Crime","true_crime.png","active"
60,17,"Autobiography","autobiography.png","active"
61,17,"Literary Biography","lit_bio.png","active"
62,18,"Personal Memoir","personal_memoir.png","active"
63,18,"Travel Memoir","travel_memoir.png","active"
64,19,"Ancient History","ancient_history.png","active"
65,19,"Modern History","modern_history.png","active"
66,19,"Military History","military_history.png","active"
67,20,"Physics","physics.png","active"
68,20,"Biology","biology.png","active"
69,20,"Mathematics","mathematics.png","active"
70,20,"Astronomy","astronomy.png","active"
71,21,"Ethics","ethics.png","active"
72,21,"Metaphysics","metaphysics.png","active"
73,21,"Logic","logic.png","active"
74,22,"Cognitive Psychology","cognitive.png","active"
75,22,"Social Psychology","social.png","active"
76,22,"Abnormal Psychology","abnormal.png","active"
77,23,"Theology","theology.png","active"
78,23,"Comparative Religion","comparative.png","active"
79,24,"Mindfulness","mindfulness.png","active"
80,24,"Meditation","meditation.png","active"
81,25,"Motivational","motivational.png","active"
82,25,"Productivity","productivity.png","active"
83,25,"Wellness","wellness.png","active"
84,26,"Entrepreneurship","entrepreneurship.png","active"
85,26,"Finance","finance.png","active"
86,26,"Economics","economics.png","active"
87,27,"Painting","painting.png","active"
88,27,"Photography","photography.png","active"
89,27,"Architecture","architecture.png","active"
90,28,"Music Theory","music_theory.png","active"
91,28,"Musical Biography","music_bio.png","active"
92,28,"Genres & Styles","music_styles.png","active"
93,29,"Team Sports","team_sports.png","active"
94,29,"Outdoor Sports","outdoor_sports.png","active"
95,29,"Extreme Sports","extreme_sports.png","active"
96,30,"Travel Guides","travel_guides.png","active"
97,30,"Adventure Travel","adventure.png","active"
98,30,"Cultural Travel","cultural.png","active"
99,31,"Baking","baking.png","active"
100,31,"Vegetarian & Vegan","vegan.png","active"
101,31,"International Cuisine","international.png","active"
102,32,"Kindle Books","kindle.png","active"
103,32,"PDF Books","pdf.png","active"
104,32,"Audiobooks","audiobooks.png","active"
105,33,"Christian Fiction","christian_fiction.png","active"
106,33,"Christian Living","christian_living.png","active"
107,34,"Domestic Fiction","domestic.png","active"
108,34,"Realistic Fiction","realistic.png","active"
109,35,"Paranormal Romance","para_romance.png","active"
110,35,"Paranormal Mystery","para_mystery.png","active"
111,36,"Suspense Thriller","suspense_thriller.png","active"
112,36,"Domestic Suspense","domestic_suspense.png","active"
113,37,"Satire","satire.png","active"
114,37,"Parody","parody.png","active"
115,38,"Rom-Com","romcom.png","active"
116,38,"Women’s Contemporary","womens_contemporary.png","active"
117,39,"Gay Fiction","gay_fiction.png","active"
118,39,"Lesbian Fiction","lesbian_fiction.png","active"
119,40,"Transgender Fiction","trans_fiction.png","active"
120,40,"Queer Studies","queer_studies.png","active"
