"id","cat_id","sub_category_name","sub_category_image","status"
"1","1","Literary Fiction","literary_fiction.png","0"
"2","1","Contemporary Fiction","contemporary_fiction.png","0"
"3","1","Women’s Fiction","womens_fiction.png","0"
"4","2","High Fantasy","high_fantasy.png","0"
"5","2","Urban Fantasy","urban_fantasy.png","0"
"6","2","Dark Fantasy","dark_fantasy.png","0"
"7","2","Epic Fantasy","epic_fantasy.png","0"
"8","2","Sword and Sorcery","sword_sorcery.png","0"
"9","3","Dystopian","dystopian.png","0"
"10","3","Cyberpunk","cyberpunk.png","0"
"11","3","Steampunk","steampunk.png","0"
"12","3","Space Opera","space_opera.png","0"
"13","3","Hard Science Fiction","hard_scifi.png","0"
"14","4","Contemporary Romance","contemporary_romance.png","0"
"15","4","Historical Romance","historical_romance.png","0"
"16","4","Paranormal Romance","paranormal_romance.png","0"
"17","4","Romantic Suspense","romantic_suspense.png","0"
"18","4","Young Adult Romance","ya_romance.png","0"
"19","5","Detective Fiction","detective.png","0"
"20","5","Cozy Mystery","cozy_mystery.png","0"
"21","5","Crime Fiction","crime.png","0"
"22","5","Noir","noir.png","0"
"23","5","Police Procedural","police.png","0"
"24","6","Legal Thriller","legal_thriller.png","0"
"25","6","Medical Thriller","medical_thriller.png","0"
"26","6","Psychological Thriller","psych_thriller.png","0"
"27","6","Action Thriller","action_thriller.png","0"
"28","7","Gothic Horror","gothic_horror.png","0"
"29","7","Supernatural Horror","supernatural_horror.png","0"
"30","7","Psychological Horror","psych_horror.png","0"
"31","7","Monster Horror","monster.png","0"
"32","8","Historical Romance","historical_rom.png","0"
"33","8","Alternate History","alt_history.png","0"
"34","8","Historical Mystery","historical_mystery.png","0"
"35","9","YA Fantasy","ya_fantasy.png","0"
"36","9","YA Science Fiction","ya_scifi.png","0"
"37","9","YA Contemporary","ya_contemporary.png","0"
"38","9","YA Dystopian","ya_dystopian.png","0"
"39","10","Picture Books","picture_books.png","0"
"40","10","Middle Grade","middle_grade.png","0"
"41","10","Early Readers","early_readers.png","0"
"42","11","Classic Literature","classic_lit.png","0"
"43","11","Modern Classics","modern_classics.png","0"
"44","16","Politics","politics.jpg","active"
"55","15","Epic Poetry","epic_poetry.png","0"
"56","15","Contemporary Poetry","contemporary_poetry.png","0"
"57","16","Essays","essays.png","0"
"58","16","Journalism","journalism.png","0"
"59","16","True Crime","true_crime.png","0"
"60","17","Autobiography","autobiography.png","0"
"61","17","Literary Biography","lit_bio.png","0"
"62","18","Personal Memoir","personal_memoir.png","0"
"63","18","Travel Memoir","travel_memoir.png","0"
"64","19","Ancient History","ancient_history.png","0"
"65","19","Modern History","modern_history.png","0"
"66","19","Military History","military_history.png","0"
"67","20","Physics","physics.png","0"
"68","20","Biology","biology.png","0"
"69","20","Mathematics","mathematics.png","0"
"70","20","Astronomy","astronomy.png","0"
"71","21","Ethics","ethics.png","0"
"72","21","Metaphysics","metaphysics.png","0"
"73","21","Logic","logic.png","0"
"74","22","Cognitive Psychology","cognitive.png","0"
"75","22","Social Psychology","social.png","0"
"76","22","Abnormal Psychology","abnormal.png","0"
"77","23","Theology","theology.png","0"
"78","23","Comparative Religion","comparative.png","0"
"79","24","Mindfulness","mindfulness.png","0"
"80","24","Meditation","meditation.png","0"
"81","25","Motivational","motivational.png","0"
"82","25","Productivity","productivity.png","0"
"83","25","Wellness","wellness.png","0"
"84","26","Entrepreneurship","entrepreneurship.png","0"
"85","26","Finance","finance.png","0"
"86","26","Economics","economics.png","0"
"87","27","Painting","painting.png","0"
"88","27","Photography","photography.png","0"
"89","27","Architecture","architecture.png","0"
"90","28","Music Theory","music_theory.png","0"
"91","28","Musical Biography","music_bio.png","0"
"92","28","Genres & Styles","music_styles.png","0"
"93","29","Team Sports","team_sports.png","0"
"94","29","Outdoor Sports","outdoor_sports.png","0"
"95","29","Extreme Sports","extreme_sports.png","0"
"96","30","Travel Guides","travel_guides.png","0"
"97","30","Adventure Travel","adventure.png","0"
"98","30","Cultural Travel","cultural.png","0"
"99","31","Baking","baking.png","0"
"100","31","Vegetarian & Vegan","vegan.png","0"
"101","31","International Cuisine","international.png","0"
"102","32","Kindle Books","kindle.png","0"
"103","32","PDF Books","pdf.png","0"
"104","32","Audiobooks","audiobooks.png","0"
"105","33","Christian Fiction","christian_fiction.png","0"
"106","33","Christian Living","christian_living.png","0"
"107","34","Domestic Fiction","domestic.png","0"
"108","34","Realistic Fiction","realistic.png","0"
"109","35","Paranormal Romance","para_romance.png","0"
"110","35","Paranormal Mystery","para_mystery.png","0"
"111","36","Suspense Thriller","suspense_thriller.png","0"
"112","36","Domestic Suspense","domestic_suspense.png","0"
"113","37","Satire","satire.png","0"
"114","37","Parody","parody.png","0"
"115","38","Rom-Com","romcom.png","0"
"116","38","Women’s Contemporary","womens_contemporary.png","0"
"117","39","Gay Fiction","gay_fiction.png","0"
"118","39","Lesbian Fiction","lesbian_fiction.png","0"
"119","40","Transgender Fiction","trans_fiction.png","0"
"120","40","Queer Studies","queer_studies.png","0"
121,16,Psychology,Psychology.png,1
